Timestamp,DA_Price_EUR_MWh,aFRR_Cap_Price_EUR_MW,Industrial_Load_MW,Optimized_Discharge_MW,Optimized_Charge_MW,aFRR_Reserved_MW,SoC_MWh,Net_Grid_Load_MW
2026-06-01 00:00:00,84.96714153011233,33.36685182642445,3.488867175168438,0.0,0.0,5.0,5.0,3.488867175168438
2026-06-01 01:00:00,89.40922783456912,34.96194064260759,2.789489641316269,0.0,0.0,5.0,5.0,2.789489641316269
2026-06-01 02:00:00,107.26024338242426,30.091213313197976,4.28556852172442,0.0,0.0,5.0,5.0,4.28556852172442
2026-06-01 03:00:00,124.46373713520522,32.95262548722356,4.448506241997661,0.0,0.0,5.0,5.0,4.448506241997661
2026-06-01 04:00:00,113.17387498886166,27.798734307555108,4.846729100794471,0.0,0.0,5.0,5.0,4.846729100794471
2026-06-01 05:00:00,116.82199393780111,26.159478881146512,6.021436261510583,0.0,0.0,5.0,5.0,6.021436261510583
2026-06-01 06:00:00,135.69887892269549,23.877304296958517,6.708433255779804,3.6091068,0.0,1.3908932,5.0,3.0993264557798037
2026-06-01 07:00:00,125.3647841762819,33.90563067523667,7.047434511549788,0.21460707,0.0,4.7853929,1.0770578,6.832827441549789
2026-06-01 08:00:00,107.98405186106817,30.72631154693487,6.4337321895641235,0.0,0.0,5.0,0.84378925,6.4337321895641235
2026-06-01 09:00:00,110.66911820890176,29.583980120176495,6.832827442555599,0.0,0.0,5.0,0.84378925,6.832827442555599
2026-06-01 10:00:00,91.30186666572506,36.6397477513641,7.139759165019842,0.30693172,0.0,4.6930683,0.84378925,6.832827445019842
2026-06-01 11:00:00,80.7893684281473,31.24432851045024,7.302181829832327,0.46935439,0.0,4.5306456,0.51016781,6.832827439832327
2026-06-01 12:00:00,76.97295675181049,35.53345024537757,6.280537529392343,0.0,0.0,5.0,0.0,6.280537529392343
2026-06-01 13:00:00,44.93115395957237,28.29310264341521,6.020269850968936,0.0,0.0,5.0,0.0,6.020269850968936
2026-06-01 14:00:00,37.507303901827555,28.772554760348903,5.07035305737839,0.0,0.0,5.0,0.0,5.07035305737839
2026-06-01 15:00:00,41.69832898717259,31.357386928756043,4.489594771061551,0.0,0.0,5.0,0.0,4.489594771061551
2026-06-01 16:00:00,32.18125191190295,30.564195861696096,4.951634367387835,0.0,0.0,5.0,0.0,4.951634367387835
2026-06-01 17:00:00,43.23572255833117,26.196528977216623,4.714882562872132,0.0,0.0,5.0,0.0,4.714882562872132
2026-06-01 18:00:00,31.75639573749497,26.687615283361612,3.5635874954457316,0.0,0.0,5.0,0.0,3.5635874954457316
2026-06-01 19:00:00,30.36155425055206,28.69733929054365,3.768050826497303,0.0,0.0,5.0,0.0,3.768050826497303
2026-06-01 20:00:00,65.42304911809056,27.389965461084255,3.242375967886294,0.0,0.0,5.0,0.0,3.242375967886294
2026-06-01 21:00:00,56.958878993717306,31.384661420280757,2.6780370345395754,0.0,0.0,5.0,0.0,2.6780370345395754
2026-06-01 22:00:00,69.88341120059826,33.24725656059863,3.2686202514641667,0.0,0.0,5.0,0.0,3.2686202514641667
2026-06-01 23:00:00,65.75251813786542,38.171366678656746,4.086076313617191,5.0,0.0,0.0,0.0,-0.9139236863828089
