Timestamp,Industrial_Load_MW
2026-06-01 00:00:00,2.8189165309853044
2026-06-01 01:00:00,2.959236719148226
2026-06-01 02:00:00,3.67411404280718
2026-06-01 03:00:00,4.528553634865017
2026-06-01 04:00:00,4.662087729385237
2026-06-01 05:00:00,5.3426333004559865
2026-06-01 06:00:00,6.536557873382208
2026-06-01 07:00:00,6.864121517513374
2026-06-01 08:00:00,6.9429676247833605
2026-06-01 09:00:00,7.541950144940523
2026-06-01 10:00:00,7.359075960635501
2026-06-01 11:00:00,7.292028735992442
2026-06-01 12:00:00,7.257631137527683
2026-06-01 13:00:00,6.2022985735931835
2026-06-01 14:00:00,5.718308730194382
2026-06-01 15:00:00,5.434946802259995
2026-06-01 16:00:00,4.622864003316698
2026-06-01 17:00:00,4.349503153931622
2026-06-01 18:00:00,3.366573607602333
2026-06-01 19:00:00,2.699982161535073
2026-06-01 20:00:00,3.1872189140859994
2026-06-01 21:00:00,2.470698224246212
2026-06-01 22:00:00,2.5321597100983766
2026-06-01 23:00:00,2.2424778292178966
